Year,Brand,Model,Mileage,Price
2023,HONDA,ADV160,11459,"117,703"
2023,KAWASAKI,BARAKO 175 KICK,10082,"46,294"
2023,HONDA,CLICK 125i,11229,"57,516"
2024,HONDA,CLICK 125i,3185,"46,301"
2024,HONDA,CRF 150L,4878,"116,006"
2023,HONDA,Click160,10630,"69,897"
2023,HONDA,Click160,13141,"96,566"
2024,YAMAHA,MIO FAZZIO,9969,"73,238"
2024,YAMAHA,MIO FAZZIO,6089,"73,238"
2024,YAMAHA,MIO GEAR,8486,"62,741"
2024,YAMAHA,MIO I 125,,"40,544"
2024,YAMAHA,NMAX ABS,2371,"86,189"
2024,BENELLI,PANAREA,4115,"74,872"
2024,HONDA,PCX160 (CBS),,"82,952"
2024,HONDA,PCX160 (CBS),3325,"93,208"
2024,HONDA,RS 125 Fi,4637,"54,017"
2024,SUZUKI,Raider R 150 Carburetor,4000,"67,400"
2024,KAWASAKI,Rouser NS160,32,"78,682"
2023,HONDA,WAVE RSX (DRUM),7253,"52,243"
2023,HONDA,ADV160,3001,"134,783"
2024,HONDA,CLICK 125 (SPECIAL EDITION),4653,"67,406"
2023,HONDA,CLICK 125i,7653,"70,284"
2022,SUZUKI,GIXXER 150,27000,"60,246"
2023,YAMAHA,MIO AEROX S,8932,"60,333"
2023,YAMAHA,MIO FAZZIO,5267,"59,313"
2023,YAMAHA,MIO GEAR,8277,"33,971"
2024,YAMAHA,MIO GEAR,9425,"55,881"
2023,YAMAHA,MIO GEAR S (BJN3),14217,"40,939"
2022,YAMAHA,MIO I 125,38133,"34,194"
2023,YAMAHA,MIO I 125,9466,"44,615"
2023,KAWASAKI,ROUSER NS125 Fi,3503,"23,425"
2024,HONDA,RS 125 Fi,10588,"45,233"
2022,HONDA,RS 125 Fi,14963,"18,940"
2023,KAWASAKI,Rouser NS160,17251,"17,912"
2023,SUZUKI,SMASH 115 DRUM/SPOKES,6933,"29,894"
2024,SUZUKI, SMASH FI (SPOKES/DRUM),6372,"30,669"
2023,YAMAHA,SNIPER155,19210,"86,639"
2023,YAMAHA,SNIPER155,19062,"53,797"
2022,YAMAHA,SZ,,"22,008"
2023,TVS,TVS NTORQ 125 FI (STD),3446,"25,738"
2020,YAMAHA,YZF-R3,37972,"163,885"
2023,HONDA,AIR BLADE160,3584,"44,337"
2020,HONDA,Air Blade150,23286,"34,191"
2021,HONDA,Air Blade150,16491,"44,304"
2023,KAWASAKI,BARAKO 175 ELECTRIC,6031,"74,872"
2023,SUZUKI,BURGMAN STREET 125 EX,12222,"51,578"
2023,SUZUKI,BURGMAN STREET 125 EX,35778,"69,824"
2024,HONDA,CLICK 125 (SPECIAL EDITION) ,1775,"61,776"
2024,HONDA,CLICK 125 (SPECIAL EDITION) ,17248,"58,991"
2023,HONDA,CLICK 125i,17075,"59,676"
2023,HONDA,CLICK 125i,20936,"59,676"
2024,HONDA,CLICK 125i,14642,"66,307"
2023,HONDA,CLICK 125i,4539,"60,726"
2023,HONDA,CLICK 125i,35113,"59,676"
2023,KAWASAKI,CT100 w/ MCP,,"27,215"
2023,KAWASAKI,CT100B w/ MCP,23558,"38,117"
2023,KAWASAKI,CT125 w/ MCP,,"41,573"
2023,KAWASAKI,CT125 w/ MCP,,"37,416"
2023,HONDA,Click160,37154,"65,603"
2023,KYMCO,LIKE 125 ITALIA E3,6465,"42,246"
2023,YAMAHA,MIO AEROX S,17977,"104,537"
2023,YAMAHA,MIO GEAR,14341,"40,853"
2023,YAMAHA,MIO GEAR,16961,"58,627"
2022,YAMAHA,MIO GEAR S,19547,"60,726"
2024,YAMAHA,MIO SPORTY,7939,"47,953"
2022,YAMAHA,MIO SPORTY,4334,"53,028"
2023,YAMAHA,MIO SPORTY,3898,"39,407"
2023,YAMAHA,MIO SPORTY,14390,"44,408"
2023,YAMAHA,Mio Aerox,19164,"100,989"
2022,YAMAHA,Mio Gravis,14448,"45,745"
2022,HONDA,PCX160 (CBS) ,27059,"87,670"
2022,HONDA,PCX160 (CBS),14919,"92,569"
2023,HONDA,RS 125 Fi,8084,"39,275"
2023,YAMAHA,SNIPER155,14603,"89,770"
2024,HONDA,TMX 125A,320,"34,857"
2024,HONDA,TMX SUPREMO (TMXS2J),1650,"58,277"
2023,YAMAHA,YTX 125,9600,"43,580"
2023,CFMOTO,400NK,7626,"140,686"
2024,KAWASAKI,BARAKO 175 ELECTRIC,7001,"67,385"
2024,HONDA,BEAT (ACH110CBFR),3627,"56,520"
2024,HONDA, BEAT (ACH110CBFR3),1254,"57,298"
2023,HONDA,TMX 125A,11354,"32,817"
2024,HONDA,TMX 125A,570,"32,817"
2023,HONDA,TMX SUPREMO (TMXS2J),1805,"31,334"
2024,YAMAHA,YTX 125,547,"46,022"
2023,YAMAHA,YTX 125,,"30,358"
2024,KAWASAKI,CT100 w/ MCP,,"41,630"
2022,KAWASAKI,CT125 w/ MCP,,"38,660"
2023,YAMAHA,MIO AEROX S,16734,"101,224"
2023,YAMAHA,MIO I 125,,"33,755"
2023,SUZUKI,SMASH 115 DRUM/SPOKES,1085,"45,438"
2022,YAMAHA,SNIPER155R MONSTER,59009,"77,664"
2021,YAMAHA,YTX 125,,"12,916"
2024,KAWASAKI,BARAKO 175 ELECTRIC,2862,"54,223"
2022,KAWASAKI,BARAKO 175 ELECTRIC,29249,"45,795"
2022,HONDA,BEAT FI,7946,"23,855"
2022,HONDA,BEAT FI,51402,"44,383"
2023,HONDA,BEAT FI,38602,"45,005"
2022,SUZUKI,BURGMAN STREET,26000,"54,844"
2023,SUZUKI,BURGMAN STREET 125 EX,28929,"72,850"
2024,SUZUKI,BURGMAN STREET 125 EX,9520,"73,006"
2023,HONDA,CLICK 125i,19223,"41,250"
2023,HONDA,CLICK 125i,22828,"46,301"
2023,HONDA,CLICK 125i,20364,"56,918"
2023,HONDA,CLICK 125i,13401,"63,907"
2021,HONDA,CLICK 125i,36914,"54,844"
2023,HONDA,CLICK 125i,5302,"51,226"
2023,HONDA,CLICK 125i,9729,"56,918"
2023,HONDA,CLICK 125i,14480,"63,907"
2023,HONDA,CLICK 125i,27858,"57,954"
2023,HONDA,CLICK 125i,6090,"63,907"
2023,HONDA,CLICK 125i,32434,"56,918"
2020,HONDA,CLICK 125i-STD (CBS,35629,"37,226"
2023,KAWASAKI,CT125 w/ MCP,12643,"46,645"
2023,TVS,DAZZ 110 PRIME,10201,"47,648"
2022,KAWASAKI,Dominar400 UG,21000,"139,170"
2023,YAMAHA,MIO AEROX S,19000,"91,102"
2023,YAMAHA,MIO AEROX S,7730,"102,377"
2024,YAMAHA,MIO FAZZIO,3185,"73,238"
2023,YAMAHA,MIO GEAR,5504,"50,293"
2022,YAMAHA,MIO GEAR,,"49,049"
2024,YAMAHA,MIO GEAR,3452,"62,741"
2022,YAMAHA,MIO GEAR,,"53,462"
2023,YAMAHA,MIO GEAR S,7777,"42,998"
2023,YAMAHA,MIO GEAR S,,"53,403"
2023,YAMAHA,MIO GEAR S,9071,"53,403"
2023,YAMAHA,MIO GEAR S,15692,"59,966"
2023,YAMAHA,MIO GEAR S,4121,"66,629"
2023,YAMAHA,MIO I 125,7852,"44,615"
2023,YAMAHA,MIO I 125,3605,"55,417"
2022,YAMAHA,MIO I 125,15986,"25,488"
2023,YAMAHA,MIO I 125,18519,"35,075"
2023,YAMAHA,MIO I 125,12432,"39,752"
2024,YAMAHA,MIO I 125S,1606,"58,916"
2022,YAMAHA,Mio Aerox,15403,"84,810"
2023,YAMAHA,Mio Aerox,30951,"86,709"
2024,YAMAHA,Mio Aerox,3063,"96,645"
2022,YAMAHA,Mio Aerox,20774,"86,709"
2022,YAMAHA,Mio Gravis,45706,"63,138"
